sample_method,sample_size,sample_no,percent_male,protected_frequency,log_geom_diversity,4_entropy
uniform,40,0,10,0.775,-31.779295476224114,1.2099338754903874
uniform,40,1,10,0.95,-35.13706872851353,0.8517321440572501
uniform,40,2,10,0.9,-33.964843018060705,0.9672604429127742
uniform,40,3,10,0.925,-34.84716868921767,0.8990737637631184
uniform,40,4,10,0.9,-31.39708777513218,1.0182301539513934
uniform,40,5,10,0.85,-32.2024059611202,1.07946837261189
uniform,40,6,10,0.875,-31.167425254593137,1.0641821694358589
uniform,40,7,10,0.8,-33.220020132205505,1.153241118422672
uniform,40,8,10,0.9,-36.37266431256067,0.9699658171295675
uniform,40,9,10,0.875,-32.7187110223103,1.0670432111586647
uniform,40,10,10,0.95,-31.94039458450332,0.8797706158709501
uniform,40,11,10,0.9,-34.761241166573086,0.9699658171295675
uniform,40,12,10,0.875,-34.34384875548023,1.0381442829137577
uniform,40,13,10,0.85,-32.782588311077134,1.115856268365936
uniform,40,14,10,0.9,-34.13222853128559,0.9995819067909201
uniform,40,15,10,0.85,-33.71210812126571,1.078542266530246
uniform,40,16,10,0.975,-33.42740132082086,0.76652833049184
uniform,40,17,10,0.925,-32.63460357413323,0.9468123263852294
uniform,40,18,10,0.825,-32.76863301843208,1.151667979885236
uniform,40,19,10,0.9,-32.7531154375172,0.9352649419016505
uniform,40,20,10,0.925,-32.11954531087557,0.9045017244629406
uniform,40,21,10,0.875,-31.556192325133583,1.0282056728318096
uniform,40,22,10,0.875,-33.041741753648985,1.0497818282656932
uniform,40,23,10,0.9,-31.715719811794564,1.0051489503572797
uniform,40,24,10,0.875,-32.18202391955064,1.0497818282656932
uniform,40,25,10,0.9,-33.022352111144976,1.005671630839816
uniform,40,26,10,0.925,-32.73958243664791,0.8492141469848024
uniform,40,27,10,0.9,-32.59628023507336,0.9958213213455276
uniform,40,28,10,0.975,-33.95500424367022,0.7846904335429707
uniform,40,29,10,0.775,-35.82545485580291,1.2212845423584522
uniform,40,30,10,0.875,-35.27182533581469,1.0282056728318096
uniform,40,31,10,0.925,-33.00744527887877,0.9468123263852295
uniform,40,32,10,0.925,-33.147045686111944,0.9522402870850517
